First_Name,Last_Name,Country,ID,Company,Email
Brian,Neto,Portugal,00153,Chevron Corporation,bn@chevroncorporation.com
Edwin,Kaul,Germany,00154,AmerisourceBergen,ek@amerisourcebergen.com
Cakrawala,Prabowo,India,00155,Valero Energy,cp@valeroenergy.com
Sally,Walker,United Kingdom,00156,Kroger,swalker@kroger.com
Kamil,Hertrampf,Germany,00157,Alphabet,kh@alphabet.com
Ivan,Ramos,Portugal,00158,Archer Daniels Midland,ir@archerdanielsmidland.com
Alexandre,Carvalho,Portugal,00159,Amazon,alexandrecarvalho@amazon.com
Widya,Nashiruddin,India,00160,Kroger,wnashiruddin@kroger.com
Serafín,Navarro,Mexico,00161,Dell Technologies,serafinnavarro@delltechnologies.com
Bernabé,Tejada,Mexico,00162,Valero Energy,bt@valeroenergy.com
Armando,Almaraz,Mexico,00163,Archer Daniels Midland,aalmaraz@archerdanielsmidland.com
Karl-Jürgen,Sauer,Germany,00164,McKesson Corporation,ksauer@mckessoncorporation.com
Tantri,Wijaya,India,00165,JPMorgan Chase,tw@jpmorganchase.com
Lia,Pinho,Portugal,00166,Walmart,liapinho@walmart.com
Manuelita,Leiva,Spain,00167,Meta Platforms,ml@metaplatforms.com
Hans-Gerd,Ziegert,Germany,00168,Costco,hziegert@costco.com
Noelia,Cedillo,Mexico,00169,Target Corporation,noeliacedillo@targetcorporation.com
Octavio,Barbero,Spain,00170,Cardinal Health,obarbero@cardinalhealth.com
Ariel,Hidalgo,Spain,00171,The Home Depot,ah@thehomedepot.com
Elena,Ruiz,Mexico,00172,Walmart,elenaruiz@walmart.com
Ricardo,Mata,Mexico,00173,Elevance Health,rm@elevancehealth.com
Madalena,Batista,Portugal,00174,Meta Platforms,mb@metaplatforms.com
Anica,Hentschel,Germany,00175,Walmart,anicahentschel@walmart.com
Humberto,Lopez,Spain,00176,Walgreens Boots Alliance,hlopez@walgreensbootsalliance.com
Sarah,Poole,United Kingdom,00177,Alphabet,sp@alphabet.com
Margarita,Cavazos,Mexico,00178,Valero Energy,mc@valeroenergy.com
Inés,Navarrete,Mexico,00179,Microsoft,inavarrete@microsoft.com
Zelaya,Sinaga,India,00180,Verizon Communications,zs@verizoncommunications.com
Resi,Weiß,Germany,00181,Ford Motor Company,rweiss@fordmotorcompany.com
Argono,Hassanah,India,00182,Kroger,ah@kroger.com
Clemente,Rodrígez,Mexico,00183,Marathon Petroleum,cr@marathonpetroleum.com
Karen,Utami,India,00184,JPMorgan Chase,ku@jpmorganchase.com
Alexandra,Agustín,Spain,00185,Dell Technologies,aagustin@delltechnologies.com
Kunigunde,Hartmann,Germany,00186,Dell Technologies,kunigundehartmann@delltechnologies.com
Luna,Campos,Portugal,00187,Meta Platforms,lc@metaplatforms.com
Zahra,Latupono,India,00188,Meta Platforms,zl@metaplatforms.com
Bagiya,Budiman,India,00189,JPMorgan Chase,bbudiman@jpmorganchase.com
Madalena,Pinho,Portugal,00190,Cigna,madalenapinho@cigna.com
Zelda,Hakim,India,00191,Phillips 66,zeldahakim@phillips66.com
Rusman,Kuswandari,India,00192,Costco,rk@costco.com
Vanesa,Sihombing,India,00193,Chevron Corporation,vs@chevroncorporation.com
Caket,Wahyuni,India,00194,The Home Depot,cw@thehomedepot.com
Océane,Poirier,France,00195,Johnson & Johnson,op@johnsonjohnson.com
Simón,Miralles,Spain,00196,Marathon Petroleum,smiralles@marathonpetroleum.com
Emília,Antunes,Portugal,00197,Valero Energy,eantunes@valeroenergy.com
Bruno,Baptista,Portugal,00198,JPMorgan Chase,brunobaptista@jpmorganchase.com
Roberta,Gordillo,Spain,00199,FedEx,rg@fedex.com
Abel,Miramontes,Mexico,00200,Chevron Corporation,abelmiramontes@chevroncorporation.com
Evelio,Hurtado,Mexico,00201,Verizon Communications,eh@verizoncommunications.com
Teresa,Chan,United Kingdom,00202,Alphabet,tc@alphabet.com
Gottlieb,Wiek,Germany,00203,United Parcel Service,gw@unitedparcelservice.com
Citlali,Pineda,Mexico,00204,Ford Motor Company,cpineda@fordmotorcompany.com
Lucy,Singh,United Kingdom,00205,CVS Health,lsingh@cvshealth.com
Carlota,Esteves,Portugal,00206,Elevance Health,ce@elevancehealth.com
Willfried,Jäkel,Germany,00207,Kroger,willfriedjakel@kroger.com
Cecilia,Farías,Mexico,00208,FedEx,cf@fedex.com
Anica,Trapp,Germany,00209,UnitedHealth Group,at@unitedhealthgroup.com
Lupe,Gil,Spain,00210,Wells Fargo,lupegil@wellsfargo.com
Melitta,Heinrich,Germany,00211,FedEx,mheinrich@fedex.com
Omar,Ozuna,Mexico,00212,General Motors,oo@generalmotors.com
Sigfrido,Cabrera,Spain,00213,CVS Health,sigfridocabrera@cvshealth.com
Helmar,Wesack,Germany,00214,Cigna,hwesack@cigna.com
Megan,Wilkins,United Kingdom,00215,CVS Health,meganwilkins@cvshealth.com
Felix,Borrego,Spain,00216,UnitedHealth Group,fborrego@unitedhealthgroup.com
Gilberto,Tamez,Mexico,00217,Johnson & Johnson,gtamez@johnsonjohnson.com
Suzanne,Hill,United Kingdom,00218,Fannie Mae,suzannehill@fanniemae.com
Fitria,Rahmawati,India,00219,Comcast,fr@comcast.com
Fabio,Cano,Spain,00220,Humana,fc@humana.com
Clarissa,Hendriks,Germany,00221,CVS Health,chendriks@cvshealth.com
Martin,Prévost,France,00222,AmerisourceBergen,mprevost@amerisourcebergen.com
Carla,Galán,Spain,00223,UnitedHealth Group,cgalan@unitedhealthgroup.com
Ronald,Williams,United Kingdom,00224,Bank of America,ronaldwilliams@bankofamerica.com
Marc,Stolze,Germany,00225,Ford Motor Company,marcstolze@fordmotorcompany.com
Raquel,Santacruz,Mexico,00226,Chevron Corporation,rs@chevroncorporation.com
Eligia,Higueras,Spain,00227,Archer Daniels Midland,ehigueras@archerdanielsmidland.com
Christophe,Martineau,France,00228,UnitedHealth Group,christophemartineau@unitedhealthgroup.com
Julio César,Tafoya,Mexico,00229,Apple,jt@apple.com
Daniswara,Wulandari,India,00230,Exxon Mobil,dw@exxonmobil.com
Sabine,Noël,France,00231,FedEx,sn@fedex.com
Rafaela,Nunes,Portugal,00232,Verizon Communications,rn@verizoncommunications.com
Samuel,Romero,Spain,00233,General Motors,sr@generalmotors.com
Matias,Figueiredo,Portugal,00234,AT&T,matiasfigueiredo@att.com
Kevin,Maia,Portugal,00235,Apple,kmaia@apple.com
Naomi,Bennett,United Kingdom,00236,Lowe's,nb@lowes.com
Olaf,Warmer,Germany,00237,Elevance Health,olafwarmer@elevancehealth.com
Jaya,Saptono,India,00238,Fannie Mae,jsaptono@fanniemae.com
Noa,Oliveira,Portugal,00239,General Motors,no@generalmotors.com
Leyla,Henschel,Germany,00240,Lowe's,lh@lowes.com
Leanne,Edwards,United Kingdom,00241,Walmart,ledwards@walmart.com
Marcos,Barbosa,Portugal,00242,Meta Platforms,mbarbosa@metaplatforms.com
Charlie,Harvey,United Kingdom,00243,Cigna,ch@cigna.com
Eduardo,Teixeira,Portugal,00244,FedEx,eteixeira@fedex.com
Swantje,Schweitzer,Germany,00245,Microsoft,swantjeschweitzer@microsoft.com
Ruth,Davis,United Kingdom,00246,Kroger,rd@kroger.com
Rendy,Hutapea,India,00247,JPMorgan Chase,rendyhutapea@jpmorganchase.com
Raquel,Miranda,Portugal,00248,McKesson Corporation,rm@mckessoncorporation.com
Omar,Ceballos,Mexico,00249,Comcast,oc@comcast.com
Xavier,Simões,Portugal,00250,Costco,xs@costco.com
Pauline,Colin,France,00251,Costco,pc@costco.com
Stephen,Hussain,United Kingdom,00252,Elevance Health,sh@elevancehealth.com
Eloisa,Alonso,Mexico,00253,FedEx,eloisaalonso@fedex.com
Fabiana,Rocha,Portugal,00254,Ford Motor Company,fabianarocha@fordmotorcompany.com
Cakrawangsa,Dabukke,India,00255,AmerisourceBergen,cakrawangsadabukke@amerisourcebergen.com
Gerlind,Peukert,Germany,00256,Elevance Health,gerlindpeukert@elevancehealth.com
Norma,Negrón,Mexico,00257,Chevron Corporation,nn@chevroncorporation.com
Sara,Pereira,Portugal,00258,Berkshire Hathaway,sarapereira@berkshirehathaway.com
Rachel,Kelly,United Kingdom,00259,Phillips 66,rkelly@phillips66.com
Argono,Damanik,India,00260,Valero Energy,ad@valeroenergy.com
Upik,Halim,India,00261,Marathon Petroleum,uh@marathonpetroleum.com
Martin,Gilles,France,00262,Phillips 66,mg@phillips66.com
Gilbert,Grégoire,France,00263,Archer Daniels Midland,gilbertgregoire@archerdanielsmidland.com
Lourenço,Rodrigues,Portugal,00264,Walgreens Boots Alliance,lr@walgreensbootsalliance.com
Kyara,Fonseca,Portugal,00265,Berkshire Hathaway,kyarafonseca@berkshirehathaway.com
Caridad,Urrutia,Mexico,00266,Cardinal Health,caridadurrutia@cardinalhealth.com
Reyes,Saura,Spain,00267,Cigna,rs@cigna.com
Maurice,Hervé,France,00268,Comcast,mherve@comcast.com
Roland,Martins,France,00269,Microsoft,rmartins@microsoft.com
Alexandra,Martins,Portugal,00270,Elevance Health,amartins@elevancehealth.com
Darman,Mandasari,India,00271,AT&T,darmanmandasari@att.com
Elenore,Gunpf,Germany,00272,Marathon Petroleum,eg@marathonpetroleum.com
Randolf,Trüb,Germany,00273,Kroger,rt@kroger.com
Dennis,Bell,United Kingdom,00274,Microsoft,db@microsoft.com
Thierry,Clément,France,00275,JPMorgan Chase,tc@jpmorganchase.com
Jorge,Matos,Portugal,00276,FedEx,jmatos@fedex.com
Ema,Belmonte,Spain,00277,Target Corporation,eb@targetcorporation.com
Raúl,Chacón,Spain,00278,Kroger,rchacon@kroger.com
Bryan,Gonçalves,Portugal,00279,Bank of America,bgoncalves@bankofamerica.com
Guillermina,Zambrano,Mexico,00280,Alphabet,gz@alphabet.com
Slavica,Dippel,Germany,00281,Elevance Health,sd@elevancehealth.com
Leonor,Pinto,Portugal,00282,Apple,lpinto@apple.com
Marie,Bouchet,France,00283,Kroger,mb@kroger.com
Alexander,Robinson,United Kingdom,00284,The Home Depot,arobinson@thehomedepot.com
Yasemin,Hecker,Germany,00285,CVS Health,yh@cvshealth.com
Juan Manuel,Ferrera,Spain,00286,Humana,jf@humana.com
Thérèse,Lecomte,France,00287,Humana,tl@humana.com
Ibun,Yulianti,India,00288,Wells Fargo,iy@wellsfargo.com
Freya,Gierschner,Germany,00289,Berkshire Hathaway,fg@berkshirehathaway.com
Jose Manuel,Alcázar,Spain,00290,UnitedHealth Group,jalcazar@unitedhealthgroup.com
Cynthia,Roskoth,Germany,00291,Valero Energy,cr@valeroenergy.com
Débora,del Valle,Mexico,00292,Archer Daniels Midland,dd@archerdanielsmidland.com
Tatiana,Pelayo,Spain,00293,Kroger,tatianapelayo@kroger.com
Jono,Ramadan,India,00294,Bank of America,jramadan@bankofamerica.com
Anne,Gautier,France,00295,Apple,annegautier@apple.com
Alma,Llopis,Spain,00296,General Motors,almallopis@generalmotors.com
Mark,Karge,Germany,00297,Humana,markkarge@humana.com
Emilio,Gaytán,Mexico,00298,Johnson & Johnson,eg@johnsonjohnson.com
Estiono,Samosir,India,00299,Johnson & Johnson,esamosir@johnsonjohnson.com
Richard,Jones,United Kingdom,00300,Fannie Mae,rjones@fanniemae.com
